DATE	NAME	YEAR	LENGTH	RATING	DIRECTOR	PRIMARY_LANGUAGE	FOREIGN	GENRE	REWATCH
december	phantom_thread	2017	130	5	paul_thomas_anderson	english	no	"drama,romance"	yes
october	the_silence_of_the_lambs	1991	119	4.5	jonathan_demme	english	no	"horror,crime,thriller,drama"	yes
december	alien	1979	117	4.5	ridley_scott	english	no	"horror,science fiction"	yes
january	aftersun	2022	101	4	charlotte_wells	english	no	drama	yes
march	killers_of_the_flower_moon	2023	206	4	martin_scorsese	english	no	"history,crime,drama"	yes
march	past_lives	2023	106	4	celine_song	english	no	"drama,romance"	yes
december	star_trek	2009	127	4	jj_abrams	english	no	"science fiction,action,adventure"	yes
december	star_trek_into_darkness	2013	132	3.5	jj_abrams	english	no	"science fiction,action,adventure"	yes
december	oppenheimer	2023	181	3.5	christopher_nolan	english	no	"history,drama"	yes
november	oceans_twelve	2004	125	3	steven_soderbergh	english	no	"thriller,crime"	yes
august	la_haine	1995	98	5	mathieu_kassovitz	french	yes	drama	yes
february	mishima_a_life_in_four_chapters	1985	121	5	paul_schrader	japanese	sort of	drama	yes
december	millennium_actress	2001	87	5	satoshi_kon	japanese	yes	"romance,animation,drama,fantasy"	yes
september	city_of_god	2002	129	4.5	fernando_meirelles	portuguese	yes	"drama,crime"	yes
